Article,GT
"The Familiar Yet 'Forgotten' Tragedy of Hama . On February 2, 1982, Syrian troops -- acting under the orders of then-President Hafez al-Assad and led by his brother, Rifaat al-Assad -- besieged the city of Hama in an effort to quell an anti-government uprising by the Muslim Brotherhood.",0
"Make Mine Manhattan: An Ode To The Cocktail . If the martini is the undisputed king of gin drinks, the Manhattan rules the whiskey ones.",0
"Trump Suggests He'll Pardon Joe Arpaio, Self-Proclaimed 'Toughest Sheriff' In America . Trump and Arpaio were major players in the Obama birther movement.",0
"Body-Image Expert Thomas Cash Shares Little-Known Weight-Loss Secret . More than a mental picture of what you look like, your body image consists of your personal relationship with your body -- encompassing your perceptions, beliefs, thoughts, feelings, and actions that pertain to your physical appearance.",0
"UNEP Greenhouse Gas Emissions Report Finds Climate Change Goals Growing More Elusive . The UNEP report highlights the gap between these pledges and cuts needed put the world on a ""likely"" path to stay below the",0
"Jessica Biel's Odd Pink Dress Ensemble: Yay Or Nay? (PHOTOS, POLL) . Scroll down for pics. No, Jess didn't spice up her outfit with a famous ""Total Recall"" signature: Kaitlyn Leeb's three breasts",0
"This 'Missed Connection' Is Heartbreaking In The Best Possible Way . The ""missed connection"" below certainly fits the bill. In the post, the man recalls how he married a woman back in the 1980s",0
"DNC To Offer Sanders A Convention Concession . In an attempt to head off an ugly conflict at its convention this summer, the Democratic National Committee plans to offer",0
"Kurt Cobain Inspired Style Trends, Many Of Which We Saw At Saint Laurent (PHOTOS) . Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr, Pinterest and Instagram at @HuffPostStyle. -- Do",0
"Iraqi Forces Open Fire On Protesters Storming Green Zone . Dozens of people incurred injuries from tear gas and live fire, witnesses said",0
"Black Friday: The Psychology Of Getting A Deal, And How To Stress Less . So how can we avoid getting swept away in the Black Friday frenzy? Brannon suggests reminding yourself why you're shopping",0
"Joe Biden Tangles With Iraq War Protester . The vice president reminded the heckler of his late son Beau, an Iraq war veteran.",0
"How Students Decorated Their Dorm Rooms In 1900 . Established in 1845 by the final Congress of the Republic of Texas, Baylor University in Waco is the state’s oldest continually",0
"Hindi can become a language that symbolizes our self-respect in government affairs and brings us closer to the goal of Ek Bharat, Shreshtha Bharat: Dr Mansukh Mandaviya The present government has been steadfastly implementing the principles of Reform, Perform, and Transform of the use of Hindi: Dr Mansukh MandaviyaHindi Advisory Committee meeting of the Ministry of Chemicals, and Fertilizers held . “Promotion, and increased use of Hindi brings us closer to the Prime Minister’s vision of Ek Bharat, Shresth Bharat.” This was said by Dr. Mansukh Mandaviya, Union Minister for Chemicals and Fertilizers at the meeting of the Hindi Advisory Committee of the Ministry of Chemicals, and Fertilizers. The Hindi Advisory Committee is a committee constituted in each ministry of the central government to promote official work in Hindi, which has a provision of holding at least two meetings in a year. The committee's primary objective is to promote the use of Hindi as the official language within the ministry's operations and provide valuable recommendations to further enhance its implementation. Dr Mansukh Mandaviya, speaking at the event began with a profound quote from the Father of the Nation, Mahatma Gandhi, who emphasized the importance of utilizing Hindi in national practices for the expeditious progress of our nation. This sentiment resonates with the committee's mission to propel the adoption of Hindi as a medium of expression that reflects India's composite culture, as mandated by Article 351 of the Constitution of India. The Minister emphasizing the need for Ministries to use Hindi in their official work said, “The Ministry of Chemicals and Fertilizers is resolute in its commitment to fulfil the responsibilities entrusted upon it by the Department of Official Language, Ministry of Home Affairs, to propagate the official language Hindi and accomplish the goals outlined in the annual program. The ministry recognizes Hindi as a symbol of our national and cultural unity, reflecting our collective nationalism.” He further said, “Under the visionary leadership of our esteemed Prime Minister, Shri Narendra Modi, the present government has been steadfastly implementing the principles of Reform, Perform, and Transform. This philosophy extends to the realm of Hindi, as the government has made significant strides in advancing its use. Prime Minister Modi himself frequently utilizes Hindi as a means of communication during international forums, urging the representation of India's culture through simple and comprehensible language that harmonizes with all Indian languages. He spoke of the importance of leading from the front in the use of Hindi, as embodied by the Home Minister, as well as Chairperson of the Parliamentary Official Language Committee Shri Amit Shah, “Shri Amit Shah is himself an avid Hindi speaker, and ensures that work in his Ministries is done in Hindi.” The Ministry of Chemicals and Fertilizers has established robust mechanisms to ensure compliance with the official language policy within its departments, undertakings, and offices. As a means of encouragement, the Minister presented Citation/Rajbhasha Shield to various undertakings to applaud their efforts in promoting and using Hindi as the official language. The Minister further spoke of the relevance of these meetings in promoting the use of Hindi. “This committee, and these meetings presents an opportunity to channel our discussions towards providing a significant direction for the implementation of the official language policy. It is crucial to deliberate on how Hindi can become a language that symbolizes our self-respect in government affairs and brings us closer to the goal of Ek Bharat, Shreshtha Bharat.” The event was attended by Lok Sabha member Bhartruhari Mahtab, Secretary, Department of Chemicals and Fertilizers, Arun Bharoka, S Aparna, Secretary, Department of Pharmaceuticals, and various senior officials of the Ministry of Chemicals and Fertilizers, renowned journalists, Hindi scholars, and representatives of Hindi organizations.",0
"Philando Castile's Girlfriend Breaks Down In New Facebook Video . ""He was crying, they took my phone and threw it. They had machine guns pointed at my back.”",0
"Washington's Monuments in Minutes? Yes, You Can! . Did I say ""all"" the monuments in one day""? Yeah, more or less.",0
Tesla Autopilot Appears To Predict Crash Moments Before It Happens . Dashcam footage shows the Tesla braking just moments before the car ahead is rammed into a guardrail.,0
"Jaylen Brown: Donald Trump's Made It 'More Acceptable For Racists To Speak Their Minds' . ""I just think Trump’s character and some of his values [make] him unfit to lead.""",0
You Actually Have A Chance To Be Idris Elba's Valentine . WHERE DO I SIGN UP?! 😱,0
